Run,Algorithm,Solution Path Length,Nodes Expanded,Execution Time,Status,Total Fails
1.0,DFS,25.0,30.0,0.0002613067626953125,Pass,
1.0,BFS,5.0,29.0,0.00021195411682128906,Pass,
1.0,A*,5.0,6.0,6.890296936035156e-05,Pass,
2.0,DFS,2.0,2.0,2.6941299438476562e-05,Pass,
2.0,BFS,2.0,3.0,3.409385681152344e-05,Pass,
2.0,A*,2.0,1.0,2.4080276489257812e-05,Pass,
3.0,DFS,24.0,25.0,0.00020885467529296875,Pass,
3.0,BFS,10.0,26.0,0.0001811981201171875,Pass,
3.0,A*,10.0,14.0,0.00012493133544921875,Pass,
4.0,DFS,13.0,13.0,0.00011515617370605469,Pass,
4.0,BFS,3.0,8.0,8.106231689453125e-05,Pass,
4.0,A*,3.0,2.0,4.291534423828125e-05,Pass,
5.0,DFS,35.0,73.0,0.0006730556488037109,Pass,
5.0,BFS,19.0,80.0,0.00061798095703125,Pass,
5.0,A*,19.0,61.0,0.0005171298980712891,Pass,
6.0,DFS,31.0,40.0,0.00032806396484375,Pass,
6.0,BFS,19.0,67.0,0.0004551410675048828,Pass,
6.0,A*,19.0,52.0,0.0004050731658935547,Pass,
7.0,DFS,19.0,20.0,0.00014209747314453125,Pass,
7.0,BFS,19.0,74.0,0.0004999637603759766,Pass,
7.0,A*,19.0,52.0,0.0004286766052246094,Pass,
8.0,DFS,8.0,8.0,8.082389831542969e-05,Pass,
8.0,BFS,8.0,35.0,0.00022983551025390625,Pass,
8.0,A*,8.0,7.0,6.604194641113281e-05,Pass,
9.0,DFS,61.0,70.0,0.0006279945373535156,Pass,
9.0,BFS,17.0,81.0,0.0005979537963867188,Pass,
9.0,A*,17.0,53.0,0.0004169940948486328,Pass,
10.0,DFS,24.0,24.0,0.000202178955078125,Pass,
10.0,BFS,10.0,60.0,0.0004200935363769531,Pass,
10.0,A*,10.0,25.0,0.00019407272338867188,Pass,
Average,A*,11.2,27.3,0.0002288818359375,-,0.0
Average,BFS,11.2,46.3,0.0003329277038574219,-,0.0
Average,DFS,24.2,30.5,0.0002666473388671875,-,0.0
